"Quarter"	"LAName"	"LACode"	"variable"	"value"
2020 Q4	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	77
2020 Q4	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	207
2020 Q4	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	472
2020 Q4	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	210
2020 Q4	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	287
2020 Q4	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	361
2020 Q4	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	287
2020 Q4	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	284
2020 Q4	"Fife"	"S12000047"	"Battery Electric Vehicles"	795
2020 Q4	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	1012
2020 Q4	"Highland"	"S12000017"	"Battery Electric Vehicles"	457
2020 Q4	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	113
2020 Q4	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	263
2020 Q4	"Moray"	"S12000020"	"Battery Electric Vehicles"	134
2020 Q4	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	39
2020 Q4	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	137
2020 Q4	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	341
2020 Q4	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	250
2020 Q4	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	434
2020 Q4	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	3516
2020 Q4	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	304
2020 Q4	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	37
2020 Q4	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	203
2020 Q4	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	533
2020 Q4	"Stirling"	"S12000030"	"Battery Electric Vehicles"	774
2020 Q4	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	95
2020 Q4	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	326
2020 Q3	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	364
2020 Q3	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	587
2020 Q3	"Angus"	"S12000041"	"Battery Electric Vehicles"	264
2020 Q3	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	161
2020 Q3	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	1104
2020 Q3	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	65
2020 Q3	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	173
2020 Q3	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	427
2020 Q3	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	177
2020 Q3	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	251
2020 Q3	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	307
2020 Q3	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	254
2020 Q3	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	256
2020 Q3	"Fife"	"S12000047"	"Battery Electric Vehicles"	705
2020 Q3	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	811
2020 Q3	"Highland"	"S12000017"	"Battery Electric Vehicles"	408
2020 Q3	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	100
2020 Q3	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	220
2020 Q3	"Moray"	"S12000020"	"Battery Electric Vehicles"	112
2020 Q3	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	35
2020 Q3	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	117
2020 Q3	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	273
2020 Q3	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	234
2020 Q3	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	393
2020 Q3	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	2076
2020 Q3	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	261
2020 Q3	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	29
2020 Q3	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	173
2020 Q3	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	462
2020 Q3	"Stirling"	"S12000030"	"Battery Electric Vehicles"	623
2020 Q3	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	81
2020 Q3	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	281
2020 Q2	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	303
2020 Q2	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	500
2020 Q2	"Angus"	"S12000041"	"Battery Electric Vehicles"	218
2020 Q2	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	133
2020 Q2	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	923
2020 Q2	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	56
2020 Q2	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	147
2020 Q2	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	367
2020 Q2	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	142
2020 Q2	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	212
2020 Q2	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	249
2020 Q2	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	216
2020 Q2	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	203
2020 Q2	"Fife"	"S12000047"	"Battery Electric Vehicles"	615
2020 Q2	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	545
2020 Q2	"Highland"	"S12000017"	"Battery Electric Vehicles"	329
2020 Q2	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	94
2020 Q2	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	189
2020 Q2	"Moray"	"S12000020"	"Battery Electric Vehicles"	88
2020 Q2	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	34
2020 Q2	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	100
2020 Q2	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	227
2020 Q2	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	226
2020 Q2	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	328
2020 Q2	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	1148
2020 Q2	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	220
2020 Q2	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	26
2020 Q2	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	134
2020 Q2	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	390
2020 Q2	"Stirling"	"S12000030"	"Battery Electric Vehicles"	457
2020 Q2	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	71
2020 Q2	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	236
2020 Q1	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	311
2020 Q1	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	467
2020 Q1	"Angus"	"S12000041"	"Battery Electric Vehicles"	220
2020 Q1	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	127
2020 Q1	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	888
2020 Q1	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	52
2020 Q1	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	138
2020 Q1	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	382
2020 Q1	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	135
2020 Q1	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	195
2020 Q1	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	232
2020 Q1	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	217
2020 Q1	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	198
2020 Q1	"Fife"	"S12000047"	"Battery Electric Vehicles"	598
2020 Q1	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	514
2020 Q1	"Highland"	"S12000017"	"Battery Electric Vehicles"	316
2020 Q1	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	89
2020 Q1	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	184
2020 Q1	"Moray"	"S12000020"	"Battery Electric Vehicles"	92
2020 Q1	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	32
2020 Q1	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	97
2020 Q1	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	228
2020 Q1	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	221
2020 Q1	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	316
2020 Q1	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	1014
2020 Q1	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	210
2020 Q1	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	26
2020 Q1	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	135
2020 Q1	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	376
2020 Q1	"Stirling"	"S12000030"	"Battery Electric Vehicles"	400
2020 Q1	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	73
2020 Q1	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	226
2019 Q4	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	269
2019 Q4	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	404
2019 Q4	"Angus"	"S12000041"	"Battery Electric Vehicles"	195
2019 Q4	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	115
2019 Q4	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	773
2019 Q4	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	44
2019 Q4	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	108
2019 Q4	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	350
2019 Q4	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	116
2019 Q4	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	173
2019 Q4	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	213
2019 Q4	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	189
2019 Q4	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	168
2019 Q4	"Fife"	"S12000047"	"Battery Electric Vehicles"	531
2019 Q4	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	381
2019 Q4	"Highland"	"S12000017"	"Battery Electric Vehicles"	280
2019 Q4	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	70
2019 Q4	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	157
2019 Q4	"Moray"	"S12000020"	"Battery Electric Vehicles"	75
2019 Q4	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	28
2019 Q4	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	74
2019 Q4	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	203
2019 Q4	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	212
2019 Q4	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	272
2019 Q4	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	869
2019 Q4	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	197
2019 Q4	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	24
2019 Q4	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	115
2019 Q4	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	338
2019 Q4	"Stirling"	"S12000030"	"Battery Electric Vehicles"	310
2019 Q4	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	64
2019 Q4	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	207
2019 Q3	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	245
2019 Q3	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	358
2019 Q3	"Angus"	"S12000041"	"Battery Electric Vehicles"	180
2019 Q3	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	100
2019 Q3	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	696
2019 Q3	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	41
2019 Q3	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	97
2019 Q3	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	324
2019 Q3	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	102
2019 Q3	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	147
2019 Q3	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	178
2019 Q3	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	167
2019 Q3	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	128
2019 Q3	"Fife"	"S12000047"	"Battery Electric Vehicles"	471
2019 Q3	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	344
2019 Q3	"Highland"	"S12000017"	"Battery Electric Vehicles"	244
2019 Q3	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	69
2019 Q3	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	143
2019 Q3	"Moray"	"S12000020"	"Battery Electric Vehicles"	62
2019 Q3	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	24
2019 Q3	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	70
2019 Q3	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	175
2019 Q3	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	210
2019 Q3	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	247
2019 Q3	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	729
2019 Q3	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	181
2019 Q3	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	21
2019 Q3	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	105
2019 Q3	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	299
2019 Q3	"Stirling"	"S12000030"	"Battery Electric Vehicles"	257
2019 Q3	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	58
2019 Q3	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	189
2019 Q2	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	219
2019 Q2	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	319
2019 Q2	"Angus"	"S12000041"	"Battery Electric Vehicles"	162
2019 Q2	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	92
2019 Q2	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	597
2019 Q2	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	41
2019 Q2	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	92
2019 Q2	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	309
2019 Q2	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	101
2019 Q2	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	118
2019 Q2	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	152
2019 Q2	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	147
2019 Q2	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	115
2019 Q2	"Fife"	"S12000047"	"Battery Electric Vehicles"	405
2019 Q2	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	303
2019 Q2	"Highland"	"S12000017"	"Battery Electric Vehicles"	211
2019 Q2	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	60
2019 Q2	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	132
2019 Q2	"Moray"	"S12000020"	"Battery Electric Vehicles"	55
2019 Q2	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	21
2019 Q2	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	65
2019 Q2	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	166
2019 Q2	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	203
2019 Q2	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	215
2019 Q2	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	567
2019 Q2	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	156
2019 Q2	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	19
2019 Q2	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	90
2019 Q2	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	259
2019 Q2	"Stirling"	"S12000030"	"Battery Electric Vehicles"	204
2019 Q2	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	53
2019 Q2	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	168
2019 Q1	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	210
2019 Q1	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	296
2019 Q1	"Angus"	"S12000041"	"Battery Electric Vehicles"	150
2019 Q1	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	91
2019 Q1	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	554
2019 Q1	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	39
2019 Q1	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	79
2019 Q1	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	305
2019 Q1	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	90
2019 Q1	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	106
2019 Q1	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	134
2019 Q1	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	142
2019 Q1	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	108
2019 Q1	"Fife"	"S12000047"	"Battery Electric Vehicles"	385
2019 Q1	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	298
2019 Q1	"Highland"	"S12000017"	"Battery Electric Vehicles"	196
2019 Q1	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	58
2019 Q1	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	125
2019 Q1	"Moray"	"S12000020"	"Battery Electric Vehicles"	53
2019 Q1	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	15
2019 Q1	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	60
2019 Q1	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	163
2019 Q1	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	198
2019 Q1	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	198
2019 Q1	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	437
2019 Q1	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	153
2019 Q1	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	17
2019 Q1	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	82
2019 Q1	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	248
2019 Q1	"Stirling"	"S12000030"	"Battery Electric Vehicles"	189
2019 Q1	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	51
2019 Q1	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	160
2018 Q4	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	195
2018 Q4	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	266
2018 Q4	"Angus"	"S12000041"	"Battery Electric Vehicles"	139
2018 Q4	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	81
2018 Q4	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	504
2018 Q4	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	39
2018 Q4	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	69
2018 Q4	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	291
2018 Q4	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	80
2018 Q4	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	93
2018 Q4	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	116
2018 Q4	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	128
2018 Q4	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	99
2018 Q4	"Fife"	"S12000047"	"Battery Electric Vehicles"	360
2018 Q4	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	289
2018 Q4	"Highland"	"S12000017"	"Battery Electric Vehicles"	177
2018 Q4	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	40
2018 Q4	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	107
2018 Q4	"Moray"	"S12000020"	"Battery Electric Vehicles"	46
2018 Q4	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	14
2018 Q4	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	57
2018 Q4	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	160
2018 Q4	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	191
2018 Q4	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	182
2018 Q4	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	328
2018 Q4	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	140
2018 Q4	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	19
2018 Q4	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	78
2018 Q4	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	240
2018 Q4	"Stirling"	"S12000030"	"Battery Electric Vehicles"	149
2018 Q4	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	46
