Year,ElecEngland,ElecScotland,ElecWales,GasEngland,GasScotland,GasWales
2006,0.04329491062133336,0.08253836297891098,0.08253836297891098,0.03522776128201406,0.054879411315712036,0.054879411315712036
2007,0.04733474678097925,0.06616752767181731,0.05495721533387089,0.0356075701257892,0.04660992143869057,0.03416455751069969
2008,0.040622917443054816,0.05610061719580949,0.03362503599362431,0.032784566406628586,0.03901089123818823,0.03176466395264215
2009,0.036371154425395874,0.05222736045940999,0.033486518961991694,0.032479975127779226,0.03781656846770664,0.03693653525975675
2010,0.030699933244222044,0.04316630984518128,0.02906996434663202,0.031821542190945094,0.03541995989628537,0.03399334734282043
2011,0.027556528730773838,0.04478449375159398,0.02634523252374791,0.030069455054074948,0.0422299587640194,0.02976190476190476
2012,0.03246536621385394,0.04487434593558847,0.033288074613868644,0.035233097588193873,0.04416880577134019,0.03431413771817604
2013,0.03755102169035662,0.042928748239078454,0.03162551337808116,0.04155198999369542,0.046676333718256524,0.03578514593369734
2014,0.03142242957633588,0.029569124575025054,0.026861913802682304,0.033773943038375234,0.03448337122463783,0.031056712257165258
2015,0.027621250466995845,0.025835839123241385,0.02398428881460301,0.028905048395058197,0.029578140292495666,0.025732958314445286
2016,0.025093288090247325,0.02485441085399042,0.022128691169128946,0.02536836419542748,0.026987349557474456,0.022633640423953067
2017,0.0237140618456701,0.02381415371539536,0.02164866967652196,0.023457887537037498,0.025167551989572438,0.02161534981413087
2018,0.023658512960330527,0.02379774351631733,0.022739100156672035,0.023289809869226467,0.024740206311045888,0.022202814385402853
