"Year","All fuels - Total","GVA","GDP at Market Prices","Energy Productivity","2015 change","2005 change"
2005,173091.151622168,137116.964491277,90.519029746819,0.792166226905594,NA,0
2006,167724.11079698,141316.385464308,93.291316264301,0.842552598984192,NA,0.0636058069218883
2007,167121.491631279,141937.669884714,93.701462909106,0.84930829960441,NA,0.0721339420414675
2008,165654.126032908,142958.4750623,94.375356869481,0.862993747791712,NA,0.0894099224133658
2009,155902.911783845,139519.459240249,92.105058831226,0.894912465994789,NA,0.129702877501542
2010,158079.656915902,140850.846732438,92.98398657337,0.891011844790188,NA,0.124778884187868
2011,153618.463092609,141889.945166059,93.66995699557,0.92365163867393,NA,0.165982097320598
2012,152091.701242789,142302.315594025,93.942187139916,0.935634978313929,NA,0.181109401708226
2013,148916.98176208,145200.89478313,95.855710946511,0.97504591528126,NA,0.230860243928905
2014,146781.207885215,148219.249642211,97.848305767212,1.00979717892852,NA,0.274728894809166
2015,145755.266136229,148967.450195212,98.342237268431,1.02203820242063,0,0.290181489323243
2016,146088.062119967,149955.579843402,98.994560176468,1.02647387929795,0.00434003040865361,0.295780916219588
2017,150141.59207535,151478.606072991,100,1.00890502078178,-0.0128499909374676,0.273602668877751
2018,148930.379223044,153158.768585651,101.109174791225,1.02839171822879,0.00621651499240095,0.298201921894539
2019,145119.042191377,154240.051509212,101.822993693836,1.0628519123342,0.0399336441797382,0.341703137845162
2020,144902.855359105,139305.722537709,91.963958574179,0.961373205465652,-0.0593568780612116,0.213600343984651
