Year,Onshore Wind,Offshore Wind,Shoreline wave / tidal,Solar photovoltaics,Hydro,Landfill gas,Sewage sludge digestion,Other Biomass,Total,Wind
2011,0.6151803919936748,0.11723178928846793,0.48936170212765956,0.03566445046376098,0.9363814931813471,0.09879428809970627,0.045961290322580645,0.09873321643355965,0.3938638260578658,0.4545617422310872
2012,0.6331143135997778,0.07100327889551332,0.17339667458432304,0.051670901784659024,0.9127888143075613,0.10614188345972927,0.05018008503263195,0.09882504774239366,0.35558131269615845,0.4177769872908512
2013,0.6241780095926945,0.051147250034432316,0.2920168067226891,0.047715220916697346,0.9293818116848312,0.10878030398191181,0.04000104441369226,0.06399369051966038,0.3192714968324928,0.3926871560395476
2014,0.5998922103084672,0.042465304794850126,0.9639639639639641,0.03531266110353299,0.9313495702979042,0.10590259496424746,0.03292308424786345,0.06899881461752752,0.29517005972970906,0.366091934601699
2015,0.5837316575055389,0.030911900194802878,0.995,0.02458959810749171,0.9232619849553854,0.1033274632710614,0.029272001520623456,0.05678740524860774,0.26081851085776653,0.3445833156423395
2016,0.5740316898015195,0.03062525676988664,1,0.023714951135772235,0.9153487921733803,0.10478942600885417,0.033663053772492894,0.05623294410458955,0.23467243053993295,0.3341198544003109
2017,0.5774362816242029,0.029363279262877275,1,0.0252739752331277,0.9106303108200466,0.10399178299640506,0.03717410631215498,0.07389734805037264,0.2558832232893218,0.34650990156352146
2018,0.589235350322769,0.045568365177265396,1,0.02618957405828676,0.9180659455328405,0.10778157153473501,0.03537191415582191,0.05623507102698027,0.24180081696136224,0.3358267901252574
2019,0.592786425899929,0.0988667762309168,1,0.0279775422910329,0.9107892724762968,0.11374271587497792,0.02731208636112224,0.061887401175944594,0.2524226428201083,0.34522603282129866
2020,0.5645566700924383,0.08583152516316549,1,0.026817165843719293,0.9160221027196059,0.11635570022510862,0.03200284969721967,0.05745143695502463,0.23820532523229548,0.30616098312916934
