"Quarter"	"Onshore Wind"	"Offshore Wind"	"Shoreline wave / tidal"	"Solar photovoltaics"	"Hydro"	"Landfill gas"	"Sewage sludge digestion"	"Other Biomass"	"Total"
2011 Q1	1536.07266216951	127.482483	0.085486625	0.343158285791124	1199.88073023337	124.858637453308	8.43632964715473	175.459228076598	3172.61871549074
2011 Q2	1559.35494333025	144.9830155	0.085486625	2.49336606462275	1085.04011962626	128.615478928834	9.16194719202328	201.057227304811	3130.7915845718
2011 Q3	1131.51523836311	122.327424	0.118486625	3.7198592219638	1143.95105288845	133.948616275719	9.16399236658014	195.340899898094	2740.08556963892
2011 Q4	2425.58913912671	208.8396775	0.161486625	2.14303501320672	1900.76660139747	137.957176422611	8.86297436967115	140.981873120696	4825.30196357536
2012 Q1	2379.45110610338	145.9839795	0.249693932379703	8.84566775549957	1705.60076191096	140.950087677383	9.16360629381971	230.686065048963	4620.93096822238
2012 Q2	1301.94139256528	110.7440035	0.11410862924556	22.3314014294733	707.555712405663	135.541818864743	8.70089423384564	206.306829552469	2493.23616118072
2012 Q3	1688.61160395866	127.558790226882	0.0944809835836229	29.0061670025287	948.961878693398	137.32415777229	9.53309592051865	211.711635377497	3152.80180993536
2012 Q4	2381.81747778087	155.574173	0.277894840144106	9.76338970858369	1484.45910525201	139.030206990645	9.67046301830535	219.64243609304	4400.2351466836
2013 Q1	2490.41687969754	158.644687	0.2259	7.45821508249806	1145.73224129527	143.900519372721	6.46416253178751	141.030797101175	4093.87340208099
2013 Q2	2362.37848063459	132.356823	0.2192	33.549227000994	920.549180587931	139.566727553079	8.39222272712983	184.481803780944	3781.49366528467
2013 Q3	1763.22516523927	101.089387	0.263799999999999	40.3201571427715	689.232219789261	137.604457822096	8.32844914368071	221.556742738401	2961.62037887548
2013 Q4	3948.41813895205	194.657215	0.678666666666612	14.5920803820383	1613.96178244739	141.830574888174	7.46130962602042	231.055763269685	6152.65553123202
2014 Q1	4053.31658689261	202.047744	0.4514	20.1097413672324	2078.09385768659	135.879260843639	6.95211712621548	238.005999088983	6734.85670700527
2014 Q2	1880.64038358395	110.004089	0.93393333333325	51.4648408651344	1051.11478661296	131.329101805456	7.41264362645405	323.590327656347	3556.49010648363
2014 Q3	1744.46040206904	89.917022656	0.206333333333237	53.2097120232776	737.50322404018	131.751675501783	7.60423093345165	271.085273060568	3035.73787361763
2014 Q4	3452.3691027741	167.25669	0.554799999999741	18.3766653787756	1616.89733537322	134.067186271122	5.70183287387882	322.744573887392	5717.96818655848
2015 Q1	4324.64201398502	152.63266461	0.560466666666624	27.4058640679941	1862.66749576665	126.467803160387	7.66140447019217	304.921563680639	6806.95927640755
2015 Q2	2811.81606916737	125.250579728333	0.474413333333333	73.1735263747447	1342.37079376834	127.564218025607	6.59245393965273	337.128038503194	4824.37009284057
2015 Q3	2264.7976910222	101.102427191223	0.479626666666667	64.7606152174884	958.017966618631	125.142521413996	5.83634445296614	325.113005827172	3845.25019841035
2015 Q4	3938.17232347049	159.586954381511	0.479626666666667	19.8899761889599	1650.96823877272	124.264723929834	6.09383074410529	366.798982436564	6266.25465659085
2016 Q1	3455.77262820116	139.149759795655	0	30.0502438727379	1899.76415984991	128.202930425181	7.06310107097157	366.699638459537	6026.70246167515
2016 Q2	2313.03058197359	111.919763985437	0	94.4259606699294	861.344785258957	122.375847424591	8.35600147551348	302.181360198915	3813.63430098693
2016 Q3	2618.70549535337	114.247344420013	0	90.5371863843343	1045.76447634468	121.562315428053	7.69618738685629	346.009983746222	4344.52298906353
2016 Q4	3525.76436347879	137.109460798893	0.0086	31.4978211735441	1108.92314251665	120.672210158787	8.87108592307119	357.885060868696	5290.73174491843
2017 Q1	4477.2961153701	158.879545825934	0.331	40.1981643514826	1648.45929636064	113.043433676462	9.38017478752106	497.991852587375	6945.57958295951
2017 Q2	3635.03333703197	128.455131825934	0.1016	115.479746344855	787.006363996476	110.938655898684	8.69432359310156	473.861557312309	5259.57071600333
2017 Q3	3232.04872942546	123.325362825934	2.4418	99.5134456054946	1150.42794749265	110.770989232017	9.37595273563104	478.707348628864	5206.61157594605
2017 Q4	5242.61432545791	203.485380825934	1.3192	34.3838211848399	1770.29512889151	110.726544787573	8.51132109005475	518.285100670601	7889.62082290843
2018 Q1	5482.51039312589	229.920329439562	3.1386	44.2021861125309	1403.08365355454	106.040134449188	8.96072503606692	376.54195631842	7654.3979780362
2018 Q2	3269.49968358366	169.409973019545	3.1056	123.158600444008	914.151280437776	105.423817800005	9.79900738957515	437.965297495035	5032.5132601696
2018 Q3	3389.0567339733	301.657056417005	1.142	108.845384279392	824.973450895824	105.070960739198	8.18153077730265	445.848635141975	5184.77575222399
2018 Q4	5871.49320952666	669.580230568686	1.9122	41.7070916460074	1852.46097609912	105.520293435548	8.14941767466308	442.148953919109	8992.97237286979
2019 Q1	5906.87674554965	821.159213121212	3.158	57.0068135018169	1645.6258711564	104.961934738366	7.25872573094563	524.53755146512	9070.58485526351
2019 Q2	3688.91539681777	719.965442079378	3.9174	132.264483189574	844.35122118018	99.1200389417795	6.17423609369733	474.463178128122	5969.1713964305
2019 Q3	4085.3482502622	752.42667440155	3.981	122.438132362801	1328.38780081223	101.967745419703	7.14972242386642	526.561465042993	6928.26079072535
2019 Q4	5462.16484391647	889.060889187201	2.9342	35.2075427602015	1543.80086157923	106.186309086583	8.05939312135238	505.899559907702	8553.31359955874
2020 Q1	7468.73116349826	1243.39156076037	3.007	58.2007582666565	2234.66041517824	101.375570585496	8.28510151388299	525.627416434929	11643.2789862378
2020 Q2	3416.46271633924	683.72774033291	2.1652	155.906316552691	1065.70324740666	96.3065467321814	8.28163839138974	458.180443434117	5886.73384918919
